Sprachen
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Java       |        114 |      6,371 |      2,762 |      1,958 |     11,091 |
| CSS        |          5 |        881 |         31 |        378 |      1,290 |
| XML        |         20 |        861 |          0 |         61 |        922 |
| Properties |          8 |        112 |          0 |          5 |        117 |
+------------+------------+------------+------------+------------+------------+

Dateien
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                       | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| KodeX/src/main/java/kodex/MainApp.java                                                                         | Java       |         31 |         33 |         15 |         79 |
| KodeX/src/main/java/kodex/model/AlphaNumericalSort.java                                                        | Java       |         12 |         14 |          5 |         31 |
| KodeX/src/main/java/kodex/model/DefaultSettings.java                                                           | Java       |        106 |         69 |         29 |        204 |
| KodeX/src/main/java/kodex/model/Filter.java                                                                    | Java       |         17 |          7 |          6 |         30 |
| KodeX/src/main/java/kodex/model/FilterStrategy.java                                                            | Java       |          6 |         13 |          4 |         23 |
| KodeX/src/main/java/kodex/model/Help.java                                                                      | Java       |         52 |         35 |         17 |        104 |
| KodeX/src/main/java/kodex/model/I18N.java                                                                      | Java       |        122 |         73 |         47 |        242 |
| KodeX/src/main/java/kodex/model/IndexPage.java                                                                 | Java       |         90 |         42 |         29 |        161 |
| KodeX/src/main/java/kodex/model/LabelSort.java                                                                 | Java       |         48 |         25 |         19 |         92 |
| KodeX/src/main/java/kodex/model/PluginLoader.java                                                              | Java       |        199 |         99 |         54 |        352 |
| KodeX/src/main/java/kodex/model/RelevancySort.java                                                             | Java       |         69 |         24 |         20 |        113 |
| KodeX/src/main/java/kodex/model/Settings.java                                                                  | Java       |         10 |         34 |          6 |         50 |
| KodeX/src/main/java/kodex/model/SideMenuTypes.java                                                             | Java       |         13 |          6 |          5 |         24 |
| KodeX/src/main/java/kodex/model/Tuple.java                                                                     | Java       |         25 |         27 |          9 |         61 |
| KodeX/src/main/java/kodex/model/validator/IpAddrValidator.java                                                 | Java       |         18 |         15 |         11 |         44 |
| KodeX/src/main/java/kodex/model/validator/PortNumValidator.java                                                | Java       |         25 |         29 |         15 |         69 |
| KodeX/src/main/java/kodex/model/validator/Validatable.java                                                     | Java       |          4 |         13 |          3 |         20 |
| KodeX/src/main/java/kodex/plugininterface/ChainLinkEditPresenter.java                                          | Java       |         16 |         30 |          9 |         55 |
| KodeX/src/main/java/kodex/plugininterface/ChainLinkHeaderPresenter.java                                        | Java       |         14 |         26 |          7 |         47 |
| KodeX/src/main/java/kodex/plugininterface/ChainLinkPresenter.java                                              | Java       |         98 |        122 |         32 |        252 |
| KodeX/src/main/java/kodex/plugininterface/ChainStep.java                                                       | Java       |          5 |         20 |          4 |         29 |
| KodeX/src/main/java/kodex/plugininterface/Content.java                                                         | Java       |         14 |         32 |          9 |         55 |
| KodeX/src/main/java/kodex/plugininterface/ImportPresenter.java                                                 | Java       |         20 |         42 |         12 |         74 |
| KodeX/src/main/java/kodex/plugininterface/Pluginable.java                                                      | Java       |          8 |         24 |          6 |         38 |
| KodeX/src/main/java/kodex/plugininterface/ProcedureInformation.java                                            | Java       |         23 |         35 |         11 |         69 |
| KodeX/src/main/java/kodex/plugininterface/ProcedurePlugin.java                                                 | Java       |         22 |         44 |         14 |         80 |
| KodeX/src/main/java/kodex/pluginutils/model/content/AbstractImage.java                                         | Java       |         32 |         29 |         15 |         76 |
| KodeX/src/main/java/kodex/pluginutils/model/content/AbstractList.java                                          | Java       |         22 |         23 |         10 |         55 |
| KodeX/src/main/java/kodex/pluginutils/model/content/AbstractMatrix.java                                        | Java       |         35 |         48 |         16 |         99 |
| KodeX/src/main/java/kodex/pluginutils/model/content/AbstractString.java                                        | Java       |         14 |         16 |          7 |         37 |
| KodeX/src/main/java/kodex/pluginutils/model/content/BinaryMatrix.java                                          | Java       |         54 |         18 |         10 |         82 |
| KodeX/src/main/java/kodex/pluginutils/model/content/BinaryString.java                                          | Java       |         43 |          8 |         10 |         61 |
| KodeX/src/main/java/kodex/pluginutils/model/content/BitList.java                                               | Java       |         47 |         13 |         14 |         74 |
| KodeX/src/main/java/kodex/pluginutils/model/content/BlackWhiteImage.java                                       | Java       |         72 |         21 |         17 |        110 |
| KodeX/src/main/java/kodex/pluginutils/model/content/ByteList.java                                              | Java       |         53 |         13 |         13 |         79 |
| KodeX/src/main/java/kodex/pluginutils/model/content/CharacterString.java                                       | Java       |         43 |         13 |         10 |         66 |
| KodeX/src/main/java/kodex/pluginutils/model/content/ColorImage.java                                            | Java       |         62 |         14 |         19 |         95 |
| KodeX/src/main/java/kodex/pluginutils/model/content/DecMatrix.java                                             | Java       |         57 |         18 |         15 |         90 |
| KodeX/src/main/java/kodex/pluginutils/model/content/GreyScaleImage.java                                        | Java       |         75 |         22 |         18 |        115 |
| KodeX/src/main/java/kodex/pluginutils/model/content/LetterString.java                                          | Java       |         23 |         11 |         11 |         45 |
| KodeX/src/main/java/kodex/pluginutils/model/content/RGBByteList.java                                           | Java       |         73 |         13 |         19 |        105 |
| KodeX/src/main/java/kodex/pluginutils/model/content/RGBList.java                                               | Java       |         55 |         10 |         15 |         80 |
| KodeX/src/main/java/kodex/pluginutils/model/content/RGBMatrix.java                                             | Java       |         70 |         18 |         18 |        106 |
| KodeX/src/main/java/kodex/pluginutils/model/content/TupleString.java                                           | Java       |         47 |         23 |         24 |         94 |
| KodeX/src/main/java/kodex/pluginutils/model/steps/BWImageToMatrix.java                                         | Java       |         50 |          7 |         10 |         67 |
| KodeX/src/main/java/kodex/pluginutils/model/steps/BitListToBinaryString.java                                   | Java       |         35 |          7 |         10 |         52 |
| KodeX/src/main/java/kodex/pluginutils/model/steps/ByteListToBinaryString.java                                  | Java       |         36 |          7 |         11 |         54 |
| KodeX/src/main/java/kodex/pluginutils/model/steps/ColorImageToRGBMatrix.java                                   | Java       |         39 |          8 |         11 |         58 |
| KodeX/src/main/java/kodex/pluginutils/model/steps/DecMatrixToByteList.java                                     | Java       |         35 |          7 |          9 |         51 |
| KodeX/src/main/java/kodex/pluginutils/model/steps/GreyScaleImageToDecMatrix.java                               | Java       |         41 |          7 |          9 |         57 |
| KodeX/src/main/java/kodex/pluginutils/model/steps/MatrixToBitList.java                                         | Java       |         34 |          7 |          9 |         50 |
| KodeX/src/main/java/kodex/pluginutils/model/steps/RGBByteListToBinaryString.java                               | Java       |         31 |          9 |         10 |         50 |
| KodeX/src/main/java/kodex/pluginutils/model/steps/RGBListToRGBByteList.java                                    | Java       |         45 |          9 |         11 |         65 |
